year,month,last,party
2006,Aug,G.W. Bush,Republican
2006,Sep,G.W. Bush,Republican
2006,Oct,G.W. Bush,Republican
2006,Nov,G.W. Bush,Republican
2006,Dec,G.W. Bush,Republican
2007,Jan,G.W. Bush,Republican
2007,Feb,G.W. Bush,Republican
2007,Mar,G.W. Bush,Republican
2007,Apr,G.W. Bush,Republican
2007,May,G.W. Bush,Republican
2007,Jun,G.W. Bush,Republican
2007,Jul,G.W. Bush,Republican
2007,Aug,G.W. Bush,Republican
2007,Sep,G.W. Bush,Republican
2007,Oct,G.W. Bush,Republican
2007,Nov,G.W. Bush,Republican
2007,Dec,G.W. Bush,Republican
2008,Jan,G.W. Bush,Republican
2008,Feb,G.W. Bush,Republican
2008,Mar,G.W. Bush,Republican
2008,Apr,G.W. Bush,Republican
2008,May,G.W. Bush,Republican
2008,Jun,G.W. Bush,Republican
2008,Jul,G.W. Bush,Republican
2008,Aug,G.W. Bush,Republican
2008,Sep,G.W. Bush,Republican
2008,Oct,G.W. Bush,Republican
2008,Nov,G.W. Bush,Republican
2008,Dec,G.W. Bush,Republican
2009,Jan,Obama,Democrat
2009,Feb,Obama,Democrat
2009,Mar,Obama,Democrat
2009,Apr,Obama,Democrat
2009,May,Obama,Democrat
2009,Jun,Obama,Democrat
2009,Jul,Obama,Democrat
2009,Aug,Obama,Democrat
2009,Sep,Obama,Democrat
2009,Oct,Obama,Democrat
2009,Nov,Obama,Democrat
2009,Dec,Obama,Democrat
2010,Jan,Obama,Democrat
2010,Feb,Obama,Democrat
2010,Mar,Obama,Democrat
2010,Apr,Obama,Democrat
2010,May,Obama,Democrat
2010,Jun,Obama,Democrat
2010,Jul,Obama,Democrat
2010,Aug,Obama,Democrat
2010,Sep,Obama,Democrat
2010,Oct,Obama,Democrat
2010,Nov,Obama,Democrat
2010,Dec,Obama,Democrat
2011,Jan,Obama,Democrat
2011,Feb,Obama,Democrat
2011,Mar,Obama,Democrat
2011,Apr,Obama,Democrat
2011,May,Obama,Democrat
2011,Jun,Obama,Democrat
2011,Jul,Obama,Democrat
2011,Aug,Obama,Democrat
2011,Sep,Obama,Democrat
2011,Oct,Obama,Democrat
2011,Nov,Obama,Democrat
2011,Dec,Obama,Democrat
2012,Jan,Obama,Democrat
2012,Feb,Obama,Democrat
2012,Mar,Obama,Democrat
2012,Apr,Obama,Democrat
2012,May,Obama,Democrat
2012,Jun,Obama,Democrat
2012,Jul,Obama,Democrat
2012,Aug,Obama,Democrat
2012,Sep,Obama,Democrat
2012,Oct,Obama,Democrat
2012,Nov,Obama,Democrat
2012,Dec,Obama,Democrat
2013,Jan,Obama,Democrat
2013,Feb,Obama,Democrat
2013,Mar,Obama,Democrat
2013,Apr,Obama,Democrat
2013,May,Obama,Democrat
2013,Jun,Obama,Democrat
2013,Jul,Obama,Democrat
2013,Aug,Obama,Democrat
2013,Sep,Obama,Democrat
2013,Oct,Obama,Democrat
2013,Nov,Obama,Democrat
2013,Dec,Obama,Democrat
2014,Jan,Obama,Democrat
2014,Feb,Obama,Democrat
2014,Mar,Obama,Democrat
2014,Apr,Obama,Democrat
2014,May,Obama,Democrat
2014,Jun,Obama,Democrat
2014,Jul,Obama,Democrat
2014,Aug,Obama,Democrat
2014,Sep,Obama,Democrat
2014,Oct,Obama,Democrat
2014,Nov,Obama,Democrat
2014,Dec,Obama,Democrat
2015,Jan,Obama,Democrat
2015,Feb,Obama,Democrat
2015,Mar,Obama,Democrat
2015,Apr,Obama,Democrat
2015,May,Obama,Democrat
2015,Jun,Obama,Democrat
2015,Jul,Obama,Democrat
2015,Aug,Obama,Democrat
2015,Sep,Obama,Democrat
2015,Oct,Obama,Democrat
2015,Nov,Obama,Democrat
2015,Dec,Obama,Democrat
2016,Jan,Obama,Democrat
2016,Feb,Obama,Democrat
2016,Mar,Obama,Democrat
2016,Apr,Obama,Democrat
2016,May,Obama,Democrat
2016,Jun,Obama,Democrat
2016,Jul,Obama,Democrat
2016,Aug,Obama,Democrat
2016,Sep,Obama,Democrat
2016,Oct,Obama,Democrat
